category,filename,duration_seconds,description,tags
wins_small,win_small_04.wav,0.48,Short pleasant small win,"win,small,reward"
wins_medium,win_medium_01.wav,0.75,Medium win flourish,"win,medium,reward"
wins_medium,win_medium_02.wav,0.75,Medium win flourish,"win,medium,reward"
wins_medium,win_medium_03.wav,0.75,Medium win flourish,"win,medium,reward"
wins_big,win_big_01.wav,1.35,Big win fanfare,"win,big,reward"
wins_big,win_big_02.wav,1.35,Big win fanfare,"win,big,reward"
wins_big,win_big_03.wav,1.35,Big win fanfare,"win,big,reward"
jackpot,jackpot_fanfare_01.wav,2.4,Jackpot / huge win fanfare,"jackpot,win,huge"
jackpot,jackpot_fanfare_02.wav,2.4,Jackpot / huge win fanfare,"jackpot,win,huge"
bonus,bonus_trigger_01.wav,0.7,Bonus feature trigger,"bonus,trigger,reward"
bonus,bonus_trigger_02.wav,0.7,Bonus feature trigger,"bonus,trigger,reward"
bonus,bonus_trigger_03.wav,0.7,Bonus feature trigger,"bonus,trigger,reward"
bonus,bonus_end_01.wav,0.5,Bonus round ending cue,"bonus,end,transition"
bonus,bonus_end_02.wav,0.5,Bonus round ending cue,"bonus,end,transition"
symbols,scatter_hit_01.wav,0.32,Scatter symbol hit,"scatter,symbol,hit"
symbols,scatter_hit_02.wav,0.32,Scatter symbol hit,"scatter,symbol,hit"
symbols,scatter_hit_03.wav,0.32,Scatter symbol hit,"scatter,symbol,hit"
symbols,wild_hit_01.wav,0.28,Wild symbol hit,"wild,symbol,hit"
symbols,wild_hit_02.wav,0.28,Wild symbol hit,"wild,symbol,hit"
symbols,wild_hit_03.wav,0.28,Wild symbol hit,"wild,symbol,hit"
impacts,impact_01.wav,0.18,Generic game impact,"impact,hit"
impacts,impact_02.wav,0.28,Generic game impact,"impact,hit"
impacts,impact_03.wav,0.42,Generic game impact,"impact,hit"
transitions,whoosh_01.wav,0.45,UI/game transition whoosh,"whoosh,transition"
transitions,whoosh_02.wav,0.45,UI/game transition whoosh,"whoosh,transition"
transitions,whoosh_03.wav,0.45,UI/game transition whoosh,"whoosh,transition"
transitions,whoosh_04.wav,0.45,UI/game transition whoosh,"whoosh,transition"
alerts,count_tick_01.wav,0.1,Countdown / timed tick,"alert,countdown,tick"
alerts,count_tick_02.wav,0.1,Countdown / timed tick,"alert,countdown,tick"
alerts,count_tick_03.wav,0.1,Countdown / timed tick,"alert,countdown,tick"
alerts,attention_01.wav,0.3,Attention/ready cue,"alert,attention"
alerts,attention_02.wav,0.3,Attention/ready cue,"alert,attention"
alerts,attention_03.wav,0.3,Attention/ready cue,"alert,attention"
loops,reel_bed_loop_01.wav,2.0,Low mechanical reel ambience loop,"loop,reel,ambience"
loops,reel_bed_loop_02.wav,2.0,Low mechanical reel ambience loop,"loop,reel,ambience"
wins_small,small_gold_rush_extended.wav,1.25,Extended small-win musical stinger — Gold Rush: bright casino bells with a confident upward cadence.,"win,small,extended,fanfare,gold_rush"
wins_medium,medium_gold_rush_extended.wav,2.15,Extended medium-win flourish — Gold Rush: bright casino bells with a confident upward cadence.,"win,medium,extended,fanfare,gold_rush"
wins_big,big_gold_rush_extended.wav,3.35,Extended big-win celebration — Gold Rush: bright casino bells with a confident upward cadence.,"win,big,extended,fanfare,gold_rush"
jackpot,jackpot_gold_rush_extended.wav,5.4,Extended jackpot fanfare — Gold Rush: bright casino bells with a confident upward cadence.,"win,jackpot,extended,fanfare,gold_rush"
wins_small,small_neon_luck_extended.wav,1.25,Extended small-win musical stinger — Neon Luck: sleek minor-to-major casino sparkle.,"win,small,extended,fanfare,neon_luck"
wins_medium,medium_neon_luck_extended.wav,2.15,Extended medium-win flourish — Neon Luck: sleek minor-to-major casino sparkle.,"win,medium,extended,fanfare,neon_luck"
wins_big,big_neon_luck_extended.wav,3.35,Extended big-win celebration — Neon Luck: sleek minor-to-major casino sparkle.,"win,big,extended,fanfare,neon_luck"
jackpot,jackpot_neon_luck_extended.wav,5.4,Extended jackpot fanfare — Neon Luck: sleek minor-to-major casino sparkle.,"win,jackpot,extended,fanfare,neon_luck"
wins_small,small_royal_flush_extended.wav,1.25,Extended small-win musical stinger — Royal Flush: regal fanfare-like chimes with a broad finish.,"win,small,extended,fanfare,royal_flush"
wins_medium,medium_royal_flush_extended.wav,2.15,Extended medium-win flourish — Royal Flush: regal fanfare-like chimes with a broad finish.,"win,medium,extended,fanfare,royal_flush"
wins_big,big_royal_flush_extended.wav,3.35,Extended big-win celebration — Royal Flush: regal fanfare-like chimes with a broad finish.,"win,big,extended,fanfare,royal_flush"
jackpot,jackpot_royal_flush_extended.wav,5.4,Extended jackpot fanfare — Royal Flush: regal fanfare-like chimes with a broad finish.,"win,jackpot,extended,fanfare,royal_flush"
wins_small,small_lucky_sevens_extended.wav,1.25,Extended small-win musical stinger — Lucky Sevens: fast sparkling arpeggio with classic slot-machine energy.,"win,small,extended,fanfare,lucky_sevens"
wins_medium,medium_lucky_sevens_extended.wav,2.15,Extended medium-win flourish — Lucky Sevens: fast sparkling arpeggio with classic slot-machine energy.,"win,medium,extended,fanfare,lucky_sevens"
wins_big,big_lucky_sevens_extended.wav,3.35,Extended big-win celebration — Lucky Sevens: fast sparkling arpeggio with classic slot-machine energy.,"win,big,extended,fanfare,lucky_sevens"
jackpot,jackpot_lucky_sevens_extended.wav,5.4,Extended jackpot fanfare — Lucky Sevens: fast sparkling arpeggio with classic slot-machine energy.,"win,jackpot,extended,fanfare,lucky_sevens"
